year,month,day,weekday,s_year,s_month,s_day,k_day,dekan_day,neteru_week,holy_week,holy_year,description
2020,September,10,Thursday,420,Tehuti,1,ZuHerp,Knemut,Seb & Ismat,,New Year's Day,
2020,September,11,Friday,420,Tehuti,2,ZuZnuNt,Knemut,Seb & Ismat,,,
2020,September,12,Saturday,420,Tehuti,3,ZuHmtNt,Knemut,Seb & Ismat,,,
2020,September,13,Sunday,420,Tehuti,4,ZuFduNt,Knemut,Seb & Ismat,Day of Rest,,
2020,September,14,Monday,420,Tehuti,5,ZuDuaNt,Knemut,Seb & Ismat,Ancestral Holy Day,,
2020,September,15,Tuesday,420,Tehuti,6,ZuZizNt,Knemut,Seb & Ismat,,,
2020,September,16,Wednesday,420,Tehuti,7,ZuZfhNt,Knemut,Seb & Ismat,,,
2020,September,17,Thursday,420,Tehuti,8,ZuHmnNt,Knemut,Seb & Ismat,,,
2020,September,18,Friday,420,Tehuti,9,ZuPsdNt,Knemut,Seb & Ismat,Divine Holy Day,Fish Day,
2020,September,19,Saturday,420,Tehuti,10,ZuMetNt,Knemut,Seb & Ismat,Day of Rest,,
2020,September,20,Sunday,420,Tehuti,11,ZuHerp,Heri-Haped Kneme,Aishat & Ba,,,
2020,September,21,Monday,420,Tehuti,12,ZuZnuNt,Heri-Haped Kneme,Aishat & Ba,,,
2020,September,22,Tuesday,420,Tehuti,13,ZuHmtNt,Heri-Haped Kneme,Aishat & Ba,,,
2020,September,23,Wednesday,420,Tehuti,14,ZuFduNt,Heri-Haped Kneme,Aishat & Ba,Day of Rest,,
2020,September,24,Thursday,420,Tehuti,15,ZuDuaNt,Heri-Haped Kneme,Aishat & Ba,Ancestral Holy Day,,
2020,September,25,Friday,420,Tehuti,16,ZuZizNt,Heri-Haped Kneme,Aishat & Ba,,,
2020,September,26,Saturday,420,Tehuti,17,ZuZfhNt,Heri-Haped Kneme,Aishat & Ba,,,
2020,September,27,Sunday,420,Tehuti,18,ZuHmnNt,Heri-Haped Kneme,Aishat & Ba,,,
2020,September,28,Monday,420,Tehuti,19,ZuPsdNt,Heri-Haped Kneme,Aishat & Ba,Divine Holy Day,Day of Tehuti,
